Country,Total Cases,Total Deaths,Total Recovered,Active Cases
Afghanistan,170,4,2,164
Albania,223,11,44,168
Algeria,584,35,37,512
Andorra,370,8,10,352
Angola,7,2,0,5
Antigua and Barbuda,7,0,0,7
Argentina,820,23,228,569
Armenia,482,3,30,449
Australia,4361,17,257,4087
Austria,9618,108,636,8874
Azerbaijan,273,4,26,243
Bahamas,14,0,1,13
Bahrain,515,4,279,232
Bangladesh,49,5,19,25
Barbados,33,0,0,33
Belarus,152,0,32,120
Belgium,11899,513,1527,9859
Belize,3,0,0,3
Benin,6,0,0,6
Bhutan,4,0,0,4
Bolivia,97,4,0,93
Bosnia and Herzegovina,368,10,17,341
Botswana,3,0,0,3
Brazil,4579,159,120,4300
Brunei,127,1,38,88
Bulgaria,359,8,17,334
Burkina Faso,246,12,31,203
Burma,14,0,0,14
Cabo Verde,6,1,0,5
Cambodia,107,0,21,86
Cameroon,139,6,5,128
Canada,7398,80,466,6852
Central African Republic,3,0,0,3
Chad,5,0,0,5
Chile,2449,8,156,2285
China,82198,3308,75923,2967
Colombia,798,12,15,771
Congo (Brazzaville),19,0,0,19
Congo (Kinshasa),81,8,2,71
Costa Rica,330,2,4,324
Cote d'Ivoire,168,1,6,161
Croatia,790,6,67,717
Cuba,170,4,4,162
Cyprus,230,7,22,201
Czechia,3001,23,25,2953
Denmark,2755,77,73,2605
Diamond Princess,712,10,603,99
Djibouti,18,0,0,18
Dominica,11,0,0,11
Dominican Republic,901,42,4,855
Ecuador,1962,60,3,1899
Egypt,656,41,150,465
El Salvador,30,0,0,30
Equatorial Guinea,12,0,0,12
Eritrea,12,0,0,12
Estonia,715,3,20,692
Eswatini,9,0,0,9
Ethiopia,23,0,4,19
Fiji,5,0,0,5
Finland,1352,13,10,1329
France,45170,3030,7964,34176
Gabon,7,1,0,6
Gambia,4,1,0,3
Georgia,103,0,20,83
Germany,66885,645,13500,52740
Ghana,152,5,2,145
Greece,1212,43,52,1117
Grenada,9,0,0,9
Guatemala,36,1,10,25
Guinea,22,0,0,22
Guinea-Bissau,8,0,0,8
Guyana,8,1,0,7
Haiti,15,0,1,14
Holy See,6,0,0,6
Honduras,139,7,3,129
Hungary,447,15,34,398
Iceland,1086,2,157,927
India,1251,32,102,1117
Indonesia,1414,122,75,1217
Iran,41495,2757,13911,24827
Iraq,630,46,152,432
Ireland,2910,54,5,2851
Israel,4695,16,161,4518
Italy,101739,11591,14620,75528
Jamaica,36,1,2,33
Japan,1866,54,424,1388
Jordan,268,5,26,237
Kazakhstan,302,1,21,280
Kenya,50,1,1,48
"Korea, South",9661,158,5228,4275
Kosovo,94,1,1,92
Kuwait,266,0,72,194
Kyrgyzstan,94,0,3,91
Laos,8,0,0,8
Latvia,376,0,1,375
Lebanon,446,11,35,400
Liberia,3,0,0,3
Libya,8,0,0,8
Liechtenstein,62,0,0,62
Lithuania,491,7,7,477
Luxembourg,1988,22,40,1926
MS Zaandam,2,0,0,2
Madagascar,43,0,0,43
Malaysia,2626,37,479,2110
Maldives,17,0,13,4
Mali,25,2,0,23
Malta,156,0,2,154
Mauritania,5,1,2,2
Mauritius,128,3,0,125
Mexico,993,20,35,938
Moldova,298,2,15,281
Monaco,49,1,1,47
Mongolia,12,0,2,10
Montenegro,91,1,0,90
Morocco,556,33,15,508
Mozambique,8,0,0,8
Namibia,11,0,2,9
Nepal,5,0,1,4
Netherlands,11817,865,253,10699
New Zealand,589,1,63,525
Nicaragua,4,1,0,3
Niger,27,3,0,24
Nigeria,131,2,8,121
North Macedonia,285,7,12,266
Norway,4445,32,12,4401
Oman,179,0,29,150
Pakistan,1717,21,76,1620
Panama,989,24,4,961
Papua New Guinea,1,0,0,1
Paraguay,64,3,1,60
Peru,950,24,53,873
Philippines,1546,78,42,1426
Poland,2055,31,7,2017
Portugal,6408,140,43,6225
Qatar,693,1,51,641
Romania,2109,65,209,1835
Russia,1836,9,66,1761
Rwanda,70,0,0,70
Saint Kitts and Nevis,7,0,0,7
Saint Lucia,9,0,1,8
Saint Vincent and the Grenadines,1,0,1,0
San Marino,230,25,13,192
Saudi Arabia,1453,8,115,1330
Senegal,162,0,27,135
Serbia,785,16,0,769
Seychelles,8,0,0,8
Singapore,879,3,228,648
Slovakia,336,0,7,329
Slovenia,756,11,10,735
Somalia,3,0,0,3
South Africa,1326,3,31,1292
Spain,87956,7716,16780,63460
Sri Lanka,122,2,15,105
Sudan,6,2,0,4
Suriname,8,0,0,8
Sweden,4028,146,16,3866
Switzerland,15922,359,1823,13740
Syria,10,2,0,8
Taiwan*,306,5,39,262
Tanzania,19,0,1,18
Thailand,1524,9,229,1286
Timor-Leste,1,0,0,1
Togo,30,1,1,28
Trinidad and Tobago,82,3,1,78
Tunisia,312,8,3,301
Turkey,10827,168,162,10497
US,161807,2978,5644,153185
Uganda,33,0,0,33
Ukraine,548,13,8,527
United Arab Emirates,611,5,61,545
United Kingdom,22453,1411,171,20871
Uruguay,310,1,0,309
Uzbekistan,149,2,7,140
Venezuela,135,3,39,93
Vietnam,203,0,55,148
West Bank and Gaza,116,1,18,97
Zambia,35,0,0,35
Zimbabwe,7,1,0,6
